code,name,confidence
X06I22,WashTemp60,high
X06I23,WashTemp40Gentle,high
X06I24,TumbleDry,high
X06I25,TumbleDryLow,high
X06I26,TumbleDryNormal,high
X06I27,DripDry,high
X06I28,LineDry,high
X06I29,DryFlat,high
X06I30,Iron,high
X06I31,DoNotIron,high
X06I32,IronLow,high
X06I33,IronMedium,high
X06I34,IronHigh,high
X06I35,Bleach,high
X06I36,DoNotBleach,high
X06I37,BleachChlorine,high
X06I38,DryClean,high
X06I39,DoNotDryClean,high
X06I40,DryCleanAnySolvent,high
X06I41,DryCleanPetroleum,high
X06I42,DryCleanPerchloroethylene,high
