code,name,confidence
X02B31,NoOvertaking,high
X02B32,EndNoOvertaking,high
X02B33,NoOvertakingByTrucks,high
X02B34,EndNoOvertakingByTrucks,high
X02B35,EndAllRestrictions,high
X02B36,NoGoodsVehicles,medium
X02B37,MinimumDistance50m,high
X02B38,WidthLimit2Point3m,high
X02B39,HeightLimit3Point1m,high
X02B40,WeightLimit5Point4t,high
X02B41,AxleWeightLimit4Point8t,high
X02B42,LengthLimit10m,high
X02C01,NoBicycles,high
X02C02,NoMopeds,high
X02C03,NoBicyclesOrMopeds,high
X02C04,NoMotorcycles,high
X02C05,NoCars,high
X02C06,NoMotorVehicles,medium
X02C07,NoPedestrians,high
X02C08,NoTrailers,high
X02C09,NoAgriculturalVehicles,high
X02C10,NoSlowVehicles,medium
X02C11,NoTrucks,high
X02C12,NoBuses,high
X02C13,PedestrianPath,high
X02C14,EndPedestrianPath,high
X02C15,EquestrianPath,high
X02C16,EndEquestrianPath,high
X02C17,CyclePath,high
X02C18,EndCyclePath,high
X02C19,SnowChainsRequired,high
X02C20,Roundabout,high
X02C21,KeepLeftBlue,medium
X02C22,KeepRightBlue,medium
X02C23,TurnLeftBlue,high
X02C24,TurnRightBlue,high
