code,name,confidence
X04A01,Telephone,high
X04A02,Mail,high
X04A03,Telegraph,medium
X04A04,CurrencyExchange,high
X04A05,Cashier,medium
X04A06,FirstAid,high
X04A07,TelephoneCircle,high
X04A08,MailCircle,high
X04A09,TelegraphCircle,medium
X04A10,CurrencyExchangeCircle,high
X04A11,CashierCircle,medium
X04A12,FirstAidCircle,high
X04A13,Stairs,high
X04A14,StairsUp,high
X04A15,StairsDown,high
X04A16,Escalator,high
X04A17,EscalatorUp,high
X04A18,EscalatorDown,high
X04A19,StairsCircle,high
X04A20,StairsUpCircle,high
X04A21,StairsDownCircle,high
X04A22,EscalatorCircle,high
X04A23,EscalatorUpCircle,high
X04A24,EscalatorDownCircle,high
X04A25,LostAndFound,high
X04A26,Coatroom,high
X04A27,Locker,high
X04A28,BaggageStorage,medium
X04A29,BaggageCart,high
X04A30,LostAndFoundCircle,high
X04A31,CoatroomCircle,high
X04A32,LockerCircle,high
X04A33,BaggageStorageCircle,medium
X04A34,BaggageCartCircle,high
X04B01,RestroomMen,high
X04B02,RestroomWomen,high
