code,name,confidence
X04C05,GiftShop,high
X04C06,BarberBeauty,high
X04C07,CarRentalCircle,high
X04C08,RestaurantCircle,high
X04C09,CoffeeShopCircle,high
X04C10,BarCircle,high
X04C11,GiftShopCircle,high
X04C12,BarberBeautyCircle,high
X04C13,BarberShop,high
X04C14,BeautySalon,high
X04C15,BarberShopCircle,high
X04C16,BeautySalonCircle,high
X04C17,TicketPurchase,high
X04C18,Baggage,medium
X04C19,Customs,medium
X04C20,Immigration,medium
X04C21,DepartingFlights,medium
X04C22,ArrivingFlights,medium
X04C23,TicketPurchaseCircle,high
X04C24,BaggageCircle,medium
X04C25,CustomsCircle,medium
X04C26,ImmigrationCircle,medium
X04C27,DepartingFlightsCircle,medium
X04C28,ArrivingFlightsCircle,medium
X04C29,Porter,medium
X04C30,PorterCircle,medium
X04D01,Smoking,high
X04D02,NoSmoking,high
X04D03,Parking,high
X04D04,NoParking,high
X04D05,NoPets,high
X04D06,NoLittering,low
X04D07,SmokingCircle,high
X04D08,NoSmokingCircle,high
X04D09,ParkingCircle,high
X04D10,NoParkingCircle,high
