code,name,confidence
X02A37,TrafficSignalsAhead,high
X02A38,LevelCrossingSignal,medium
X02A39,TramCrossing,high
X02A40,LevelCrossingNoBarrier,high
X02A41,LevelCrossingWithBarrier,high
X02A42,LevelCrossingCrossbuck,high
X02B01,Stop,high
X02B02,GiveWay,high
X02B03,PriorityOverOncoming,high
X02B04,YieldToOncoming,high
X02B05,PriorityRoad,high
X02B06,EndOfPriorityRoad,high
X02B07,SpeedLimit5,high
X02B08,SpeedLimit10,high
X02B09,SpeedLimit15,high
X02B10,SpeedLimit20,high
X02B11,SpeedLimit25,high
X02B12,SpeedLimit30,high
X02B13,SpeedLimit40,high
X02B14,SpeedLimit50,high
X02B15,SpeedLimit60,high
X02B16,SpeedLimit70,high
X02B17,SpeedLimit80,high
X02B18,SpeedLimit90,high
X02B19,SpeedLimit100,high
X02B20,EndSpeedLimit50,high
X02B21,RecommendedSpeed50,high
X02B22,EndRecommendedSpeed50,high
X02B23,NoEntry,high
X02B24,BlankProhibition,high
X02B25,NoThroughRoad,medium
X02B26,PoliceCheckpoint,high
X02B27,CustomsCheckpoint,high
X02B28,NoLeftTurn,high
X02B29,NoRightTurn,high
X02B30,NoUTurn,high
