code,name,confidence
X02C25,ProceedStraight,high
X02C26,PassEitherSide,high
X02C27,TurnLeftAhead,high
X02C28,TurnRightAhead,high
X02C29,StraightOrLeft,high
X02C30,StraightOrRight,high
X02C31,LeftOrRight,high
X02C32,OneWayLeft,high
X02C33,OneWayRight,high
X02C34,OneWayStraight,high
X02C35,TwoWayTrafficBlue,medium
X02C36,DeadEndRoad,high
X02C37,LaneReductionRight,medium
X02C38,LaneReductionThreeLanes,medium
X02C39,LaneClosureDiagram,medium
X02C40,PriorityRoadBendRight,medium
X02C41,WinterConditions,medium
X02C42,AccessibleSymbolBlack,high
X02D01,Motorway,high
X02D02,EndMotorway,high
X02D03,Expressway,high
X02D04,EndExpressway,high
X02D05,PostalRoute,medium
X02D06,EndPostalRoute,medium
X02D07,ResidentialArea,high
X02D08,EndResidentialArea,high
X02D09,TownEntryCologne,high
X02D10,TownExitCologne,high
X02D11,Hospital,high
X02D12,BicycleFacility,medium
X02D13,Ferry,low
X02D14,Tunnel,high
X02D15,CampingTent,high
X02D16,CaravanSite,high
X02D17,EmergencyTelephone,high
X02D18,FirstAid,high
