code,name,confidence
X04D11,NoPetsPlain,high
X04D12,NoPetsAltPlain,low
X04D13,ProhibitionBlank,high
X04D14,NoEntry,high
X04D15,GreenCircleOpen,low
X04D16,FireExtinguisher,high
X04D17,Litter,high
X04D18,ProhibitionBlankCircle,high
X04D19,NoEntryCircle,high
X04D20,GreenCircleOpenCircle,low
X04D21,FireExtinguisherCircle,high
X04D22,LitterCircle,high
X04D23,ArrowUp,high
X04D24,ArrowDown,high
X04D25,ArrowRight,high
X04D26,ArrowLeft,high
X04D27,ArrowDownLeft,high
X04D28,ArrowDownRight,high
X04D29,ArrowUpLeft,high
X04D30,ArrowUpRight,high
X04E01,Smoking,high
X04E02,NoSmoking,high
X04E03,SmokingArea,medium
X04E04,NoSmokingBanner,medium
X04E05,NoSmokingAshtray,medium
X04E06,SmokingBanner,medium
X04E07,BeverageServiceMan,medium
X04E08,BeverageServiceWoman,medium
X04E09,BeverageService,medium
X04E10,NoSeating,medium
X04E11,SeatAssignment,medium
X04E12,FastenSeatBelt,high
X04E13,SeatRowSign35,medium
X04E14,SeatRowSign5,medium
X04E15,Restrooms,high
X04E16,RestroomsProhibited,medium
