code,name,confidence
X03C03,SwimmingDark,high
X03C04,ScubaDivingDark,high
X03C05,DivingDark,high
X03C06,FishingDark,high
X03C07,WaterSkiing,high
X03C08,Surfing,high
X03C09,Swimming,high
X03C10,ScubaDiving,high
X03C11,Diving,high
X03C12,Fishing,high
X03C13,RaftingDark,medium
X03C14,ClammingDark,medium
X03C15,FishLadderDark,high
X03C16,FishCleaningDark,high
X03C17,LifeJacketDark,high
X03C18,SealViewingDark,high
X03C19,Rafting,medium
X03C20,Clamming,medium
X03C21,FishLadder,high
X03C22,FishCleaning,high
X03C23,LifeJacket,high
X03C24,SealViewing,high
X03C25,WhaleViewingDark,high
X03C26,WindsurfingDark,high
X03C27,SailingDark,high
X03C28,WhaleViewing,high
X03C29,Windsurfing,high
X03C30,Sailing,high
X03D01,DrinkingWaterDark,high
X03D02,InformationDark,high
X03D03,RangerStationDark,high
X03D04,GroceryStoreDark,high
X03D05,FirstAidDark,high
X03D06,TelephoneDark,high
X03D07,DrinkingWater,high
X03D08,Information,high
