code,name,confidence
X01F35,ArrowBidirectional,high
X01F36,ArrowDiagonalUpRightDownLeft,high
X01F37,ArrowDiagonalUpLeftDownRight,high
X01F38,ArrowThroughAndRight,medium
X01F39,ArrowThroughAndLeft,medium
X01F40,ArrowDiagonalUpLeft,high
X01F41,ArrowDiagonalUpRight,high
X01F42,ArrowAdvanceTurnRight,medium
X01G01,ArrowAdvanceTurnLeft,medium
X01G02,ArrowThroughOrLeft,medium
X01G03,ArrowThroughOrRight,medium
X01G04,DestinationNewYorkLeft,high
X01G05,DestinationSalemRight,high
X01G06,DestinationSalemLeft,high
X01G07,StreetName8thAve,high
X01G08,DestinationSanFranciscoLosAngeles,high
X01G09,DistanceChicagoBostonCleveland,high
X01G10,DistanceStLouisMemphisNewOrleans,high
X01G11,StreetNameEMainSt,high
X01G12,GuideNewYorkPhiladelphia,high
X01G13,ExitGuideInterstate20,high
X01G14,Exit44,high
X01G15,Parking,high
X01G16,ParkAndRide,high
X01G17,RestAreaPicnic,high
X01G18,ArrowRightBlue,high
X01G19,ArrowLeftBlue,high
X01G20,NationalParkRockyMountain,high
X01G21,WeighStation,high
X01G22,TelephoneLightBlue,high
X01G23,TelephoneWithArrow,high
X01G24,TelephoneQuarterMile,high
X01G25,Hospital,high
X01G26,Camping,high
X01G27,TrailerCamping,high
X01G28,LitterBarrel1000Ft,high
