code,name,confidence
X01B01,SlowerTrafficKeepRight,high
X01B02,KeepRight,high
X01B03,KeepLeft,high
X01B04,DoNotEnter,high
X01B05,WrongWay,high
X01B06,NoTrucksSymbol,high
X01B07,NoTrucksSign,high
X01B08,NoMotorVehicles,high
X01B09,CommercialVehiclesExcluded,high
X01B10,NoBicycles,high
X01B11,OneWayRight,high
X01B12,OneWayLeft,high
X01B13,PedestriansProhibited,high
X01B14,OneWayLeftStacked,high
X01B15,OneWayRightStacked,high
X01B16,NoParkingAnyTimeLeft,high
X01B17,NoParkingAnyTimeRight,high
X01B18,NoParkingTimeRestrictedRight,high
X01B19,NoParkingExceptSundaysHolidays,high
X01B20,NoStandingAnyTime,high
X01B21,NoParkingLoadingZone,high
X01B22,ReservedParkingAccessible,high
X01B23,NoParkingBikeLane,high
X01B24,NoParkingBusStop,high
X01B25,NoParkingSymbolTimeRestricted,high
X01B26,NoParkingBusStopTransit,medium
X01B27,TwoHourParking,high
X01B28,TowTruckSymbol,high
X01B29,TowAwayZone,high
X01B30,NoParkingText,high
X01B31,NoParkingSymbol,high
X01B32,EmergencyParkingOnly,high
X01B33,DoNotStopOnTracks,high
X01B34,NoPedestrianCrossing,high
X01B35,NoPedestrians,high
X01B36,NoHitchhiking,high
