code,name,confidence
X06B34,CassetteReelsDots,low
X06B35,CompactDiscDigitalAudioLogo,high
X06B36,CompactDiscAlt,high
X06B37,ScreenBlank,medium
X06B38,ScreenInFrame,medium
X06B39,ScreenSideBySide,low
X06B40,ScreenWithHandle,low
X06B41,ScreenWidthAdjust,high
X06B42,ScreenHeightAdjust,high
X06C01,ScreenPositionAdjust,high
X06C02,ScreenCentering,medium
X06C03,ScreenTextIndent,low
X06C04,ScreenPlayPause,low
X06C05,ScreenVerticalCompress,low
X06C06,ScreenPincushion,medium
X06C07,ScreenTrapezoid,medium
X06C08,ScreenSizeAdjust,medium
X06C09,ScreenConvergence,low
X06C10,ScreenHorizontalShift,medium
X06C11,ScreenOutput,low
X06C12,ScreenInput,low
X06C13,ScreenShift,low
X06C14,ScreenDegauss,low
X06C15,ScreenPowerSave,low
X06C16,ScreenLCD,high
X06C17,ScreenTilt,low
X06C18,VHSLogo,high
X06C19,ContrastHorizontal,low
X06C20,ContrastVertical,low
X06C21,ScreenFastForward,medium
X06C22,ScreenFastForwardTriple,medium
X06C23,Contrast,high
X06C24,FontSize,high
X06C25,SatelliteDish,high
X06C26,Camcorder,low
X06C27,CassetteEject,medium
