code,name,confidence
X06E19,EarthGroundMulti,low
X06E20,AntennaDipole,high
X06E21,AntennaLoop,low
X06E22,CoilInductor,low
X06E23,CoilCore,low
X06E24,Camera,high
X06E25,Sun,high
X06E26,LightBulbLit,high
X06E27,FluorescentLamp,high
X06E28,Cloud,high
X06E29,Sunrise,high
X06E30,ApertureIris,high
X06E31,ApertureWheel,low
X06E32,ApertureWithMarker,low
X06E33,PanoramaGradient,low
X06E34,SpotlightGradient,low
X06E35,PortraitPerson,high
X06E36,TwoPeople,high
X06E37,FamilyGroup,high
X06E38,Mountains,high
X06E39,Flower,high
X06E40,LandscapeTrees,high
X06E41,PortraitTree,medium
X06F01,LineSpacingAdjust,medium
X06F02,SkewAdjust,low
X06F03,TextWithWaveform,low
X06F04,SignalWaveform,low
X06F05,PaperFeedTilt,low
X06F06,HandOnPanel,high
X06F07,DocumentLines,high
X06F08,DocumentPerson,low
X06F09,DocumentEye,low
X06F10,DuplexPage1To2,low
X06F11,PagePosition2,low
X06F12,CopyPages,medium
X06F13,DuplexLoop,low
