code,name,confidence
X01C32,SideRoadRight,high
X01C33,SideRoadLeft,high
X01D01,SideRoadAngleRight,high
X01D02,SideRoadAngleLeft,high
X01D03,TIntersection,high
X01D04,YIntersection,high
X01D05,StopAhead,high
X01D06,SignalAhead,high
X01D07,MergeRight,high
X01D08,MergeLeft,high
X01D09,RoadNarrowsRight,medium
X01D10,RoadNarrowsLeft,medium
X01D11,AddedLaneLeft,medium
X01D12,AddedLaneRight,medium
X01D13,RoadNarrows,high
X01D14,NarrowBridge,high
X01D15,RoadWidens,low
X01D16,OneLaneBridge,high
X01D17,DividedHighwayBegins,medium
X01D18,DividedHighwayEnds,medium
X01D19,TwoWayTraffic,high
X01D20,TruckSteepGrade,high
X01D21,BicycleSteepGrade,high
X01D22,Hill,high
X01D23,Bump,high
X01D24,Dip,high
X01D25,PavementEnds,high
X01D26,PavementEndsSymbol,medium
X01D27,SoftShoulder,high
X01D28,SlipperyWhenWetSymbol,high
X01D29,RoughRoad,high
X01D30,LowShoulder,high
X01D31,ShoulderDropOff,medium
X01D32,SlipperyWhenWetBicycle,medium
X01D33,SlipperyWhenWet,high
X01D34,RightLaneEnds,high
