code,name,confidence
X02D19,ServicePost,low
X02D20,FuelStation,high
X02D21,HotelMotel,high
X02D22,Restaurant,high
X02D23,Cafe,high
X02D24,Information,high
X02D25,DirectionZurichBlue,high
X02D26,DirectionFlimsWhite,high
X02D27,DirectionZurichGreen,high
X02D28,DirectionFlimsOrange,high
X02D29,DirectionCamping,high
X02D30,DirectionParking300m,high
X02D31,Parking,high
X02D32,ParkingTaxi,high
X02D33,ParkingAccessible,high
X02D34,ParkingLoading,high
X02D35,ParkingCars,high
X02D36,ParkingMetered,high
X02D37,NoParking,high
X02D38,NoParkingBicyclesMopeds,high
X02D39,NoStopping,high
X02D40,NoParkingAlternateOdd,medium
X02D41,NoParkingAlternateEven,medium
X02D42,GiveWayRoundabout,high
X02E01,CountryCodeA,high
X02E02,CountryCodeAUS,high
X02E03,CountryCodeB,high
X02E04,CountryCodeBG,high
X02E05,CountryCodeBR,high
X02E06,CountryCodeCDN,high
X02E07,CountryCodeCH,high
X02E08,CountryCodeCZ,high
X02E09,CountryCodeD,high
X02E10,CountryCodeDK,high
X02E11,CountryCodeE,high
X02E12,CountryCodeF,high
