code,name,confidence
X06D25,ArrowsCycleUpDown,low
X06D26,BrightnessRamp,high
X06D27,BrightnessSteps,high
X06D28,CurvedRamp,low
X06D29,CurvedSteps,low
X06D30,Thermometer,high
X06D31,TimerDashed,low
X06D32,ClockSolid,high
X06D33,TimerPartial,low
X06D34,TriangleWithArc,low
X06D35,AntennaBroadcast,high
X06D36,Bell,high
X06D37,BellMuted,high
X06D38,Key,high
X06D39,TimerT,low
X06D40,HandTouch,high
X06D41,PushButton,medium
X06D42,Pillar,low
X06E01,BatteryPolarity,high
X06E02,BatteryFull,high
X06E03,BatteryHalf,high
X06E04,BatteryEmpty,high
X06E05,BatteriesTwo,high
X06E06,FuseOrResistor,low
X06E07,DirectCurrent,high
X06E08,AlternatingCurrent,high
X06E09,ACDCCombined,medium
X06E10,PolarityCenter,low
X06E11,PlugCircle,low
X06E12,SocketCircle,low
X06E13,PlugMale,high
X06E14,PlugMaleTwoPin,high
X06E15,EarthChassis,low
X06E16,EarthGround,high
X06E17,ProtectiveEarthCircle,medium
X06E18,ProtectiveEarthDouble,medium
