code,name,confidence
X01A01,Stop,high
X01A02,Yield,high
X01A03,PlaqueFourWay,high
X01A04,PlaqueAllWay,high
X01A05,SpeedLimit10,high
X01A06,SpeedLimit15,high
X01A07,SpeedLimit20,high
X01A08,SpeedLimit25,high
X01A09,SpeedLimit30,high
X01A10,SpeedLimit35,high
X01A11,SpeedLimit40,high
X01A12,SpeedLimit45,high
X01A13,SpeedLimit50,high
X01A14,SpeedLimit55,high
X01A15,SpeedLimit60,high
X01A16,SpeedLimit65,high
X01A17,SpeedLimit50Minimum30,high
X01A18,ReducedSpeedAhead,high
X01A19,SpeedZoneAhead,high
X01A20,NoRightTurn,high
X01A21,NoLeftTurn,high
X01A22,NoTurns,high
X01A23,NoUTurn,high
X01A24,LeftTurnOnly,high
X01A25,RightTurnOnly,high
X01A26,LaneLeftOrThrough,high
X01A27,LaneRightOrThrough,high
X01A28,LeftLaneMustTurnLeft,high
X01A29,RightLaneMustTurnRight,high
X01A30,CenterLaneTurnOnly,high
X01A31,RestrictedLaneAhead,high
X01A32,RestrictedLaneEnds,high
X01A33,DoNotPass,high
X01A34,PassWithCare,high
X01A35,KeepLeftSymbol,medium
X01A36,KeepRightSymbol,medium
