code,name,confidence
X06A37,ReelToReelTape,high
X06A38,CompactDiscDataStorageLogo,high
X06A39,CompactDisc,high
X06B01,MicrophoneHandheld,high
X06B02,MicrophoneWithCable,high
X06B03,LoudspeakerProfile,low
X06B04,MicrophoneStand,high
X06B05,MicrophoneStudio,low
X06B06,Ear,high
X06B07,Headphones,high
X06B08,Headset,high
X06B09,Loudspeaker,high
X06B10,AudioBalance,low
X06B11,SpeakerMuted,high
X06B12,VolumeRamp,high
X06B13,VolumeSteps,high
X06B14,SpeechOutput,high
X06B15,Listening,high
X06B16,MusicNote,high
X06B17,MusicNoteDouble,high
X06B18,TrebleClef,high
X06B19,BassClef,high
X06B20,SquareWaveCircle,low
X06B21,SquareInCircle,low
X06B22,AudioTrackSelect,low
X06B23,RepeatLoop,high
X06B24,ArrowsOppositeStraight,low
X06B25,ArrowsOppositeLoop,low
X06B26,TapeReels,medium
X06B27,CassetteOutline,high
X06B28,CassetteFilled,high
X06B29,TurntableStylus,medium
X06B30,TriangleDownLine,low
X06B31,TriangleDownWideLine,low
X06B32,VinylRecord,high
X06B33,CircleWithSlot,low
