code,name,confidence
X02A01,RoundaboutAhead,high
X02A02,CurveLeft,medium
X02A03,CurveRight,medium
X02A04,DoubleBendRight,medium
X02A05,DoubleBendLeft,medium
X02A06,CrossroadsAhead,high
X02A07,CrossroadPriority,medium
X02A08,SideRoadRight,medium
X02A09,SideRoadLeft,medium
X02A10,RoadNarrowsRight,high
X02A11,RoadNarrowsBothSides,high
X02A12,RoadNarrowsLeft,high
X02A13,SlipperyRoad,high
X02A14,LooseChippings,medium
X02A15,IceOrSnow,high
X02A16,GeneralWarning,high
X02A17,RoadEdgeDropOff,low
X02A18,TrafficQueues,high
X02A19,FlyingGravel,medium
X02A20,CyclistsCrossing,high
X02A21,PedestrianCrossing,high
X02A22,Pedestrians,high
X02A23,ChildrenCrossing,high
X02A24,RoadWorks,high
X02A25,WildAnimals,high
X02A26,CattleCrossing,high
X02A27,LowFlyingAircraft,high
X02A28,CrossWinds,high
X02A29,SteepDescent10Percent,high
X02A30,SteepAscent10Percent,high
X02A31,UnevenRoad,high
X02A32,FallingRocks,high
X02A33,RiverbankOrQuay,medium
X02A34,OpeningBridge,high
X02A35,Tunnel,high
X02A36,TwoWayTraffic,high
