code,name,confidence
X03A01,HorsebackRidingDark,high
X03A02,MotorbikeTrailDark,high
X03A03,BicycleTrailDark,high
X03A04,FourWheelDriveDark,high
X03A05,HikingDark,high
X03A06,PlaygroundSwingDark,high
X03A07,HorsebackRiding,high
X03A08,MotorbikeTrail,high
X03A09,BicycleTrail,high
X03A10,FourWheelDrive,high
X03A11,Hiking,high
X03A12,PlaygroundSwing,high
X03A13,AmphitheaterDark,high
X03A14,ShootingDark,high
X03A15,BinocularsViewingDark,high
X03A16,RockClimbingDark,high
X03A17,BoulderingDark,medium
X03A18,RockCollectingDark,high
X03A19,Amphitheater,high
X03A20,Shooting,high
X03A21,BinocularsViewing,high
X03A22,RockClimbing,high
X03A23,Bouldering,medium
X03A24,RockCollecting,high
X03A25,CavingDark,medium
X03A26,AllTerrainVehicleDark,high
X03A27,BaseballDark,high
X03A28,ExerciseDark,medium
X03A29,SkateboardingDark,high
X03A30,InlineSkatingDark,high
X03A31,Caving,medium
X03A32,AllTerrainVehicle,high
X03A33,Baseball,high
X03A34,Exercise,medium
X03A35,Skateboarding,high
X03A36,InlineSkating,high
