code,name,confidence
X05C01,EmergencyPhoneDark,high
X05C02,PassengerPickupDark,medium
X05C03,BusStopDark,high
X05C04,EmergencyPhone,high
X05C05,PassengerPickup,medium
X05C06,BusStop,high
X05C07,NoRadio,high
X05C08,NoFood,high
X05C09,NoLittering,high
X05C10,NoDrinks,high
X05C11,NoFoodOrDrink,high
X05C12,NoSmoking,high
X05C13,WetFloorWarning,high
X05C14,DangerElectrical,high
X05C15,DangerFlammable,high
X05C16,PedestrianWarning,high
X05C17,ArrowRight,high
X05C18,ArrowUpRight,high
X05C19,ArrowUTurnDown,high
