code,name,confidence
X04B03,Restrooms,high
X04B04,Elevator,high
X04B05,Nursery,high
X04B06,DrinkingFountain,high
X04B07,RestroomMenCircle,high
X04B08,RestroomWomenCircle,high
X04B09,RestroomsCircle,high
X04B10,ElevatorCircle,high
X04B11,NurseryCircle,high
X04B12,DrinkingFountainCircle,high
X04B13,WaitingRoom,high
X04B14,Information,high
X04B15,HotelInformation,high
X04B16,AirTransportation,high
X04B17,HelicopterService,high
X04B18,Taxi,high
X04B19,WaitingRoomCircle,high
X04B20,InformationCircle,high
X04B21,HotelInformationCircle,high
X04B22,AirTransportationCircle,high
X04B23,HelicopterServiceCircle,high
X04B24,TaxiCircle,high
X04B25,Bus,high
X04B26,GroundTransportation,high
X04B27,RailTransportation,high
X04B28,WaterTransportation,high
X04B29,Accessible,high
X04B30,BusCircle,high
X04B31,GroundTransportationCircle,high
X04B32,RailTransportationCircle,high
X04B33,WaterTransportationCircle,high
X04B34,AccessibleCircle,high
X04C01,CarRental,high
X04C02,Restaurant,high
X04C03,CoffeeShop,high
X04C04,Bar,high
