code,name,confidence
X03E09,Laundry,high
X03E10,Litter,high
X03E11,RefuseCollection,medium
X03E12,ViewingShelter,medium
X03E13,InterpretiveDisplayDark,medium
X03E14,WoodcuttingDark,high
X03E15,InterpretiveDisplay,medium
X03E16,Woodcutting,high
X03E17,FirearmsDark,medium
X03E18,SmokingDark,high
X03E19,AutomobileDark,high
X03E20,TruckDark,low
X03E21,TunnelDark,high
X03E22,LookoutTowerDark,high
X03E23,Firearms,medium
X03E24,Smoking,high
X03E25,Automobile,high
X03E26,Truck,low
X03E27,Tunnel,high
X03E28,LookoutTower,high
X03F01,LighthouseDark,high
X03F02,FallingRocksDark,high
X03F03,DamDark,high
X03F04,DeerViewingDark,high
X03F05,BearViewingDark,high
X03F06,PedestrianCrossingDark,high
X03F07,Lighthouse,high
X03F08,FallingRocks,high
X03F09,Dam,high
X03F10,DeerViewing,high
X03F11,BearViewing,high
X03F12,PedestrianCrossing,high
X03F13,PetsOnLeashDark,high
X03F14,BusDark,high
X03F15,ObservationDark,high
X03F16,CampfireDark,high
