code,name,confidence
X06C28,CassetteEjectUp,medium
X06C29,CassetteInsert,medium
X06C30,VideoCamera,high
X06C31,PowerOnBar,high
X06C32,PowerOffCircle,high
X06C33,PowerOnOffCircleBar,high
X06C34,AntennaSymbol,medium
X06C35,CircleDot,low
X06C36,StandbyOpen,low
X06C37,StandbyBrokenCircle,medium
X06C38,HighVoltageCircle,medium
X06C39,HighVoltageBoxed,medium
X06D01,CircleOpenGap,low
X06D02,StandbyPower,high
X06D03,Checkmark,high
X06D04,CyclicC,low
X06D05,CycleArrow,low
X06D06,RepeatR,low
X06D07,ReturnArrow,low
X06D08,StepUpArrow,low
X06D09,StepLine,low
X06D10,RectangleWithLead,low
X06D11,ComponentChain,low
X06D12,SquareWithArrow,low
X06D13,LoopArrow,low
X06D14,Play,high
X06D15,Stop,high
X06D16,FastForward,high
X06D17,Pause,high
X06D18,Record,high
X06D19,Eject,high
X06D20,PlayHead,low
X06D21,RewindToStart,medium
X06D22,PreviousTrack,medium
X06D23,NextTrack,medium
X06D24,PlayOutline,low
