code,name,confidence
X03B01,CrossCountrySkiingDark,high
X03B02,DownhillSkiingDark,high
X03B03,SkiJumpingDark,high
X03B04,SleddingDark,high
X03B05,IceSkatingDark,high
X03B06,SnowmobilingDark,high
X03B07,CrossCountrySkiing,high
X03B08,DownhillSkiing,high
X03B09,SkiJumping,high
X03B10,Sledding,high
X03B11,IceSkating,high
X03B12,Snowmobiling,high
X03B13,SnowflakeDark,high
X03B14,SnowshoeingDark,high
X03B15,IceFishingDark,high
X03B16,SkiLiftDark,high
X03B17,SnowboardingDark,high
X03B18,Snowflake,high
X03B19,Snowshoeing,high
X03B20,IceFishing,high
X03B21,SkiLift,high
X03B22,Snowboarding,high
X03B23,FishHatcheryDark,medium
X03B24,TourBoatDark,high
X03B25,AnchorageDark,high
X03B26,BoatLaunchDark,high
X03B27,MotorboatingDark,high
X03B28,RowingDark,high
X03B29,FishHatchery,medium
X03B30,TourBoat,high
X03B31,Anchorage,high
X03B32,BoatLaunch,high
X03B33,Motorboating,high
X03B34,Rowing,high
X03C01,WaterSkiingDark,high
X03C02,SurfingDark,high
